"n","Combination","Distribution","Score","Theoretical_Power","Empirical_Power"
30,"Normal + Wilcoxon","Normal","Wilcoxon",0.1238,0.055
30,"Normal + VdW","Normal","VdW",0.2595,0.228
30,"Logistic + Wilcoxon","Logistic","Wilcoxon",0.1261,0.092
30,"Logistic + VdW","Logistic","VdW",0.2522,0.19
50,"Normal + Wilcoxon","Normal","Wilcoxon",0.1238,0.06
50,"Normal + VdW","Normal","VdW",0.2595,0.242
50,"Logistic + Wilcoxon","Logistic","Wilcoxon",0.1261,0.098
50,"Logistic + VdW","Logistic","VdW",0.2522,0.198
70,"Normal + Wilcoxon","Normal","Wilcoxon",0.1238,0.071
70,"Normal + VdW","Normal","VdW",0.2595,0.25
70,"Logistic + Wilcoxon","Logistic","Wilcoxon",0.1261,0.1005
70,"Logistic + VdW","Logistic","VdW",0.2522,0.208
100,"Normal + Wilcoxon","Normal","Wilcoxon",0.1238,0.082
100,"Normal + VdW","Normal","VdW",0.2595,0.255
100,"Logistic + Wilcoxon","Logistic","Wilcoxon",0.1261,0.11
100,"Logistic + VdW","Logistic","VdW",0.2522,0.218
200,"Normal + Wilcoxon","Normal","Wilcoxon",0.1238,0.089
200,"Normal + VdW","Normal","VdW",0.2595,0.259
200,"Logistic + Wilcoxon","Logistic","Wilcoxon",0.1261,0.118
200,"Logistic + VdW","Logistic","VdW",0.2522,0.232
